date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:25	31777/31777	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%227c21-541e1721bc962%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.eot	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.eot	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:28	185862/185862	---M--	200	added ('OK')	image/png	etag:%222d606-541e17317cd5a%22	http://le-mugs.com/wp-content/themes/mugs/images/tomates.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/tomates.png	(from http://le-mugs.com/)
00:35:29	197576/197576	---M--	200	added ('OK')	image/png	etag:%22303c8-541e1725f0cf1%22	http://le-mugs.com/wp-content/themes/mugs/images/Celeri.png	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/images/Celeri.png	(from http://le-mugs.com/)
00:35:30	141269/141269	---M-Z	200	added ('OK')	image/svg+xml	etag:%22227d5-541e1721d4464-gzip%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.svg	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:31	18732/18732	---M--	200	added ('OK')	text/html	etag:%22492c-541e1722e0439%22	http://le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.woff2	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.html	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:32	35556/35556	---M--	200	added ('OK')	application/font-woff	etag:%228ae4-541e1721fea0b%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.woff	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.woff	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:34	20993/20993	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225201-541e17228e596%22	http://le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.eot	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.eot	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:35	75518/75518	---M-Z	200	added ('OK')	image/svg+xml	etag:%22126fe-541e1722a0b93-gzip%22	http://le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.svg	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.svg	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:35	20993/20993	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225201-541e17228e596%22	http://le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfont.eot?	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/roboto-thin-webfontd41d.eot	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:36	18656/18656	---M--	200	added ('OK')	text/html	etag:%2248e0-541e172279b9b%22	http://le-mugs.com/wp-content/themes/mugs/font/roboto-light-webfont.woff2	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/roboto-light-webfont.html	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
00:35:38	63408/63408	---M--	200	added ('OK')	application/font-sfnt	etag:%22f7b0-541e1721ecf11%22	http://le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.ttf	E:/Mis_Sitios_Webs/Le-Mugs/le-mugs.com/wp-content/themes/mugs/font/bernardomodasemibold-webfont.ttf	(from http://le-mugs.com/wp-content/themes/mugs/style.css)
